"#",,Surname,Name,City/Nation,Role,Constituted on,Appointing Authority,Case,Note
44,PROTO,MASSIMO,Roma (RM),Chair,22/07/2021,Co-Arbitrators,PENDING,
45,BESSON,SEBASTIEN,Ginevra (CH),Sole Arbitrator,22/07/2021,Arbitral Council,PENDING,
46,PATANIA,MARIA LETIZIA,Roma (RM),Sole Arbitrator,26/07/2021,Arbitral Council,CLOSED,
47,PICCININNI,LEO,Roma (RM),Sole Arbitrator,30/07/2021,Arbitral Council,CLOSED,
48,CORRADI,VALENTINA,Imola (BO),Sole Arbitrator,02/08/2021,Arbitral Council,CLOSED
"",PETRUCCI,FABRIZIO,Milano (MI),Co-Arbitrator,04/08/2021,Claimant,PENDING
"",VENEZIA,ALBERTO,Milano (MI),Co-Arbitrator,04/08/2021,Respondent,PENDING
49,LUCENTI,MARTINA,Milano (MI),Chair,04/08/2021,Arbitral Council,PENDING
50,LONGANESI CATTANI,ROBERTO,Venezia  (VE),Sole Arbitrator,02/09/2021,Arbitral Council,CLOSED
"",PAVESI,CARLO,Milano (MI),Co-Arbitrator,07/09/2021,Claimant,PENDING
"",SPOLIDORO,MARCO,Milano (MI),Co-Arbitrator,07/09/2021,Respondent,PENDING
51,CARPINELLI,MICHELE,Milano (MI),Chair,07/09/2021,Co-Arbitrators,PENDING
52,RUPERTO,SAVERIO,Roma (RM),Sole Arbitrator,07/09/2021,Arbitral Council,CLOSED
53,TUO,CHIARA,Genova (GE),Sole Arbitrator,14/09/2021,Arbitral Council,CLOSED
54,REGOLI,DUCCIO,Milano (MI),Sole Arbitrator,14/09/2021,Arbitral Council,PENDING
55,ROJ,GIANNI,Milano (MI),Sole Arbitrator,15/09/2021,Arbitral Council,PENDING
56,VERNETTI,CECILIA,Genova (GE),Sole Arbitrator,16/09/2021,Arbitral Council,CLOSED
57,SORBI,FRANCESCA,Monza (MB),Sole Arbitrator,20/09/2021,Arbitral Council,PENDING
58,GIAMMARIA,PIERLUIGI,Roma (RM),Sole Arbitrator,22/09/2021,Arbitral Council,CLOSED
59,VIGNOLO,VALERIA,Genova (GE),Sole Arbitrator,11/10/2021,Arbitral Council,PENDING
"",DITTRICH,LOTARIO BENEDETTO,Milano (MI),Co-Arbitrator,14/10/2021,Claimant,PENDING
"",GRECO,MASSIMO,Milano (MI),Co-Arbitrator,14/10/2021,Respondent,PENDING
60,ANELLI,FRANCO,Milano (MI),Chair,14/10/2021,Co-Arbitrators,PENDING
61,RENNA,VALENTINA,Lecce (LE),Sole Arbitrator,18/10/2021,Arbitral Council,PENDING
62,MALAGUTI,MARIA CHIARA,Roma (RM),Sole Arbitrator,22/10/2021,Arbitral Council,PENDING
63,SELVINI,MONICA,Milano (MI),Sole Arbitrator,26/10/2021,Arbitral Council,CLOSED
64,MAZZOLETTI,VALERIA,Milano (MI),Sole Arbitrator,02/11/2021,Arbitral Council,PENDING
"",ROSSI,LUIGI GINO,Monza (MB),Co-Arbitrator,03/11/2021,Claimant,PENDING
"",COLLIVASONE,ANDREA RANIERO,Milano (MI),Co-Arbitrator,03/11/2021,Respondent,PENDING
65,ARMANDOLA,MARIA ELENA,Milano (MI),Chair,03/11/2021,Arbitral Council,PENDING
66,VELLA,FRANCESCO,Bologna (BO),Sole Arbitrator,03/11/2021,Arbitral Council,PENDING
67,MONTEFUSCO,MONICA,Bologna (BO),Sole Arbitrator,09/11/2021,Arbitral Council,PENDING
"",DE NOVA,GIORGIO,Milano (MI),Co-Arbitrator,10/11/2021,Claimant,PENDING
"",ANELLI FRANCO,,Milano (MI),Co-Arbitrator,10/11/2021,Respondent,PENDING,
68,DATTRINO MASSIMO,,Milano (MI),Chair,10/11/2021,Co-Arbitrators,PENDING,
"",LONGO MASSIMO,,Milano (MI),Co-Arbitrator,11/11/2021,Arbitral Council,PENDING,
"",TONI RICCARDO,,Bologna (BO),Co-Arbitrator,11/11/2021,Arbitral Council,PENDING,
69,BIANDRINO PIER GIUSEPPE,,Milano (MI),Chair,11/11/2021,Arbitral Council,PENDING,
"",PRESTI GAETANO,,Milano (MI),Co-Arbitrator,16/11/2021,Claimant,PENDING,
"",BENAZZO PAOLO,,Milano (MI),Co-Arbitrator,16/11/2021,Respondent,PENDING,
70,D'ATTORRE GIACOMO,,Napoli (NA),Chair,16/11/2021,Co-Arbitrators,PENDING,
"",SALVANESCHI LAURA,,Milano (MI),Co-Arbitrator,30/11/2021,Claimant,PENDING,
"",TATOZZI CLAUDIO,,Milano (MI),Co-Arbitrator,30/11/2021,Respondent,PENDING,
71,MARICONDA VINCENZO,,Milano (MI),Chair,30/11/2021,Co-Arbitrators,PENDING,
"",DALMOTTO EUGENIO,,Torino (TO),Co-Arbitrator,09/12/2021,Arbitral Council,PENDING,
"",DI GIROLAMO ALESSIO FILIPPO,,Milano (MI),Co-Arbitrator,09/12/2021,Arbitral Council,PENDING,
72,MORERA UMBERTO,,Roma (RM),Chair,09/12/2021,Arbitral Council,PENDING,
73,TRANIELLO STEFANO,,Milano (MI),Sole Arbitrator,15/12/2021,Arbitral Council,PENDING,
"",GEMMA ANDREA,,Roma (RM),Co-Arbitrator,15/12/2021,Claimant,PENDING,
"",ZIMATORE ATTILIO,,Roma (RM),Co-Arbitrator,15/12/2021,Respondent,PENDING,
74,VACCARELLA ROMANO,,Roma (RM),Chair,15/12/2021,Co-Arbitrators,PENDING,
75,DELI MARIA BEATRICE,,Roma (RM),Sole Arbitrator,15/12/2021,Arbitral Council,PENDING,
"",ADAMO ENZO,,Bergamo (BG),Co-Arbitrator,20/12/2021,Claimant,PENDING,
"",MANES PAOLA,,Bologna (BO),Co-Arbitrator,20/12/2021,Respondent,PENDING,
76,NOLASCO SALVATORE,,Milano (MI),Chair,20/12/2021,Arbitral Council,PENDING,
77,ROMANO ALBERTO,,Milano (MI),Sole Arbitrator,22/12/2021,Arbitral Council,PENDING,
78,ROMANO* ALBERTO,,Milano (MI),Sole Arbitrator,22/12/2021,Arbitral Council,PENDING,*appointment repeated due to connected cases
79,ROMANO* ALBERTO,,Milano (MI),Sole Arbitrator,22/12/2021,Arbitral Council,PENDING,*appointment repeated due to connected cases
80,ROMANO* ALBERTO,,Milano (MI),Sole Arbitrator,22/12/2021,Arbitral Council,PENDING,*appointment repeated due to connected cases
"",ARBITRAL TRIBUNAL RE-CONSTITUTED,,,,,,,
81,ANELLI FRANCO,,Milano (MI),Co-Arbitrator,10/06/2021,Claimant,PENDING,
"",LOCONTE STEFANO,,Milano (MI),Co-Arbitrator,10/06/2021,Respondent,PENDING,
"",MACCAGNO BENESSIA CRISTIANA,,Torino (TO),Chair,10/06/2021,Arbitral Council,PENDING,RECONSTITUTION
82,CASTRONOVO CARLO,,Milano (MI),Co-Arbitrator,16/06/2021,Claimant,PENDING,
"",MARICONDA VINCENZO,,Milano (MI),Co-Arbitrator,16/06/2021,Claimant,PENDING,
"",DATTRINO MASSIMO,,Milano (MI),Co-Arbitrator,16/06/2021,Respondent,PENDING,
"",GRANELLI CARLO,,Milano (MI),Co-Arbitrator,16/06/2021,Respondent,PENDING,RECONSTITUTION
"",PORTALE GIUSEPPE,,Milano (MI),Chair,16/06/2021,Co-Arbitrators,PENDING,
